"de",1169894357
",",986646373
"la",656654009
".",636167327
"que",514380340
"el",487351419
"en",484022609
"y",481386330
"a",341042795
"los",272663900
"del",205179766
"se",199800334
"las",180542353
"un",179128901
"con",177030304
"por",173165836
"para",158847905
"""",157444284
"una",146374513
"no",142063553
"es",133184705
"su",103960593
"al",95907936
"lo",91356866
"como",89916636
")",89396639
"(",84984108
":",72588959
"más",71506264
"o",67451837
"pero",45353494
"este",45153080
"...",43580124
"sus",43457948
"si",42490444
"ha",41001184
"-",39754846
"esta",36857594
"me",34605801
"son",30701476
"ya",30497434
"sobre",30308554
"?",29719336
";",29718602
"le",28779370
"sin",28255040
"también",27379641
"entre",27322937
"ser",27025461
"todo",26305732
"muy",25195164
"desde",25097668
"fue",24258992
"cuando",24016041
"está",22129248
"años",21666718
"¿",21143023
"nos",20740249
"puede",20651939
"!",20591369
"dos",20207449
"tiene",19862920
"todos",19851161
"hay",19798094
"hasta",19353782
"así",19204916
"han",18787616
"mi",18361586
"parte",18299987
"porque",17980844
"donde",17472584
"te",17170642
"''",16492587
"cada",16404836
"e",15930114
"vez",15318015
"año",15061032
"bien",14756408
"uno",14667432
"tiempo",14228501
"%",14140269
"hacer",13975726
"hace",13752334
"otros",13547617
"era",13513162
"mismo",13336700
"–",13332771
"forma",13276250
"además",13029746
"durante",12936286
"tu",12934261
"día",12799217
"tanto",12703190
"eso",12683803
"trabajo",12578135
"gran",12561547
"ese",12492656
"vida",12371046
"]",12201311
"[",12164681
"ni",12106341
"esto",11941993
"qué",11920126
"estos",11868048
"personas",11841819
"yo",11827541
"solo",11504134
"otro",11490044
"estado",11486164
"ahora",11463188
"mejor",11435197
"caso",11238432
"aunque",11078855
"siempre",10739384
"/",10707131
"mundo",10633322
"están",10574530
"ver",10562171
"menos",10507308
"mucho",10463321
"cuenta",10372091
"sólo",10295620
"sido",10277649
"lugar",10226118
"después",10187243
"2",10063578
"algo",10005557
"había",9999327
"tener",9936774
"esa",9924596
"contra",9841410
"1",9827173
"nacional",9780232
"otra",9771201
"les",9726023
"nuevo",9573222
"antes",9489801
"pueden",9436305
"poco",9424285
"tres",9420753
"gobierno",9390962
"mayor",9390114
"país",9317038
"sea",9300490
"según",9232566
"cual",9221992
"primera",9220293
"información",9200138
"momento",9158042
"hoy",9157220
"todas",9113363
"tan",8961889
"tienen",8914576
"general",8895119
"hecho",8887183
"otras",8872187
"ciudad",8855184
"estas",8853012
"poder",8660703
"sistema",8641616
"manera",8632963
